School_Name,Suburb,VCE_Students,VCE_Completion%,VCE_Median,VCE_Over40%,Postcode,City
Academy of Mary Immaculate,FITZROY,149,96,31,12.4,3065,MELBOURNE CITY
Adass Israel School,ELSTERNWICK,102,0,0,0,3185,MOORABBIN
Advance Community College,ROSEBUD WEST,16,0,0,0,3940,FRANKSTON
Aitken College,GREENVALE,165,100,29,6.1,3059,MELB NORTH WEST
Al Siraat College,EPPING,34,100,25,2.2,3076,RINGWOOD
Al-Taqwa College Islamic Schools of Vic,TRUGANINA,177,100,27,3,3029,MELB NORTH WEST
Albert Park College,ALBERT PARK,248,99,32,12.5,3206,MOORABBIN
Albury Wodonga Community College,WODONGA,29,0,0,0,3689,VIC FAR COUNTRY
Albury Wodonga Community College,WODONGA,29,0,0,0,3690,VIC FAR COUNTRY
Alexandra Secondary College,ALEXANDRA,48,100,24,2.4,3714,VIC FAR COUNTRY
Alia College,HAWTHORN EAST,31,100,24,0,3123,HAWTHORN
Alice Miller School Macedon,MACEDON,22,100,29,4.3,3440,MELB NORTH WEST
Alkira Secondary College,CRANBOURNE NORTH,215,92,27,2.7,3977,FRANKSTON
Alphington Grammar School,ALPHINGTON,94,99,32,13.1,3078,PRESTON
Antonine College,PASCOE VALE SOUTH,69,98,26,3.5,3044,FOOTSCRAY
Apollo Bay P-12 College,APOLLO BAY,28,100,32,15.7,3233,VIC FAR COUNTRY
Aquinas College,RINGWOOD,354,100,30,6.5,3134,RINGWOOD
Ararat College,ARARAT,52,100,26,0.7,3377,VIC FAR COUNTRY
Ashwood High School,ASHWOOD,68,98,29,5,3147,HAWTHORN
Assumption College,KILMORE,340,100,28,2.2,3764,PRESTON
Auburn High School,HAWTHORN EAST,76,93,27,2.4,3123,HAWTHORN
Australian International Academy,COBURG,27,100,30,5.3,3058,PRESTON
Ave Maria College,ABERFELDIE,265,99,31,8.4,3040,FOOTSCRAY
Avila College,MOUNT WAVERLEY,261,99,32,8.8,3149,MULGRAVE
Bacchus Marsh College,BACCHUS MARSH,148,94,24,0,3340,MELB NORTH WEST
Bacchus Marsh Grammar,BACCHUS MARSH,217,100,31,10,3340,MELB NORTH WEST
Baimbridge College,HAMILTON,86,89,26,0.6,3300,VIC FAR COUNTRY
Bairnsdale Secondary College,BAIRNSDALE,200,96,24,0.8,3875,VIC FAR COUNTRY
Balcombe Grammar School,MOUNT MARTHA,114,100,31,5.5,3934,FRANKSTON
Ballarat and Clarendon College,BALLARAT,204,100,37,33.6,3350,VIC COUNTRY
Ballarat and Clarendon College,BALLARAT,204,100,37,33.6,3353,VIC COUNTRY
Ballarat Christian College,SEBASTOPOL,56,100,29,4.9,3356,VIC COUNTRY
Ballarat Grammar School,WENDOUREE,306,100,32,11.2,3355,VIC COUNTRY
Ballarat High School,BALLARAT,318,97,28,3.9,3350,VIC COUNTRY
Ballarat High School,BALLARAT,318,97,28,3.9,3353,VIC COUNTRY
Ballarat Secondary College,BALLARAT EAST,55,94,28,0,3350,VIC COUNTRY
Ballarat Secondary College,WENDOUREE,51,97,23,0,3355,VIC COUNTRY
Balmoral Community College,BALMORAL,10,88,27,0,3407,VIC FAR COUNTRY
Balwyn High School,BALWYN NORTH,618,99,34,21.2,3104,HAWTHORN
Bayside Christian College,LANGWARRIN SOUTH,72,100,30,3.1,3911,FRANKSTON
Bayside College,NEWPORT,141,91,28,2.7,3015,FOOTSCRAY
