School_Name,Suburb,VCE_Students,VCE_Completion%,VCE_Median,VCE_Over40%
Academy of Mary Immaculate,Fitzroy,149,96,31,12.4
Adass Israel School,Elsternwick,102,0,0,0
Advance Community College,Rosebud West,16,0,0,0
Aitken College,Greenvale,165,100,29,6.1
Al Siraat College,Epping,34,100,25,2.2
Al-Taqwa College Islamic Schools of Vic,Truganina,177,100,27,3
Albert Park College,Albert Park,248,99,32,12.5
Albury Wodonga Community College,Wodonga,29,0,0,0
Alexandra Secondary College,Alexandra,48,100,24,2.4
Alia College,Hawthorn East,31,100,24,0
Alice Miller School Macedon,Macedon,22,100,29,4.3
Alkira Secondary College,Cranbourne North,215,92,27,2.7
Alphington Grammar School,Alphington,94,99,32,13.1
Antonine College,Pascoe Vale South,69,98,26,3.5
Apollo Bay P-12 College,Apollo Bay,28,100,32,15.7
Aquinas College,Ringwood,354,100,30,6.5
Ararat College,Ararat,52,100,26,0.7
Ashwood High School,Ashwood,68,98,29,5
Assumption College,Kilmore,340,100,28,2.2
Auburn High School,Hawthorn East,76,93,27,2.4
Australian International Academy,Coburg,27,100,30,5.3
Ave Maria College,Aberfeldie,265,99,31,8.4
Avila College,Mt Waverley,261,99,32,8.8
Bacchus Marsh College,Bacchus Marsh,148,94,24,0
Bacchus Marsh Grammar,Bacchus Marsh,217,100,31,10
Baimbridge College,Hamilton,86,89,26,0.6
Bairnsdale Secondary College,Bairnsdale,200,96,24,0.8
Balcombe Grammar School,Mt Martha,114,100,31,5.5
Ballarat and Clarendon College,Ballarat,204,100,37,33.6
Ballarat Christian College,Sebastopol,56,100,29,4.9
Ballarat Grammar School,Wendouree,306,100,32,11.2
Ballarat High School,Ballarat,318,97,28,3.9
Ballarat Secondary College,Ballarat East,55,94,28,0
Ballarat Secondary College,Wendouree,51,97,23,0
Balmoral Community College,Balmoral,10,88,27,0
Balwyn High School,Balwyn North,618,99,34,21.2
Bayside Christian College,Langwarrin South,72,100,30,3.1
Bayside College,Newport,141,91,28,2.7
Bayswater Secondary College,Bayswater,35,100,22,0
Bayview College,Portland,55,100,29,3.7
